"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Mobile - Non-Road Equipment - Diesel","MA","25","Plymouth","023","Carbon Dioxide","GHG","169486.0996581","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Bristol","005","Carbon Dioxide","GHG","153343.2614154","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Hampden","013","Carbon Dioxide","GHG","149087.705","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Barnstable","001","Carbon Dioxide","GHG","145696.742598375000006785787","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Essex","009","Carbon Dioxide","GHG","129557.770775000000006785787","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Plymouth","023","Carbon Dioxide","GHG","123214.87601430000000678162","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Worcester","027","Carbon Dioxide","GHG","122145.96708110000000678162","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Barnstable","001","Carbon Dioxide","GHG","113104.9405143900000000974271","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Middlesex","017","Carbon Dioxide","GHG","110859.82955715","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Norfolk","021","Carbon Dioxide","GHG","109987.85443230000000678162","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Hampden","013","Carbon Dioxide","GHG","101407.0530393","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Middlesex","017","Carbon Dioxide","GHG","82489.9","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Bristol","005","Carbon Dioxide","GHG","76263.97310440000000678162","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Barnstable","001","Carbon Dioxide","GHG","74766.014","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Middlesex","017","Carbon Monoxide","CAP","73247.91453","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Suffolk","025","Carbon Dioxide","GHG","68718.69692931000000693928682","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Essex","009","Carbon Dioxide","GHG","66888.645300350000000000136599","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Hampden","013","Carbon Dioxide","GHG","57688.85935210000000678162","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Worcester","027","Carbon Dioxide","GHG","57648.98860908","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Franklin","011","Carbon Dioxide","GHG","52326.538500320000000004167","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Worcester","027","Carbon Dioxide","GHG","51998.49","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Berkshire","003","Carbon Dioxide","GHG","51398.71104625","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Hampshire","015","Carbon Dioxide","GHG","50962.9512","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Middlesex","017","Carbon Monoxide","CAP","50468.75603410000000059106","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Berkshire","003","Carbon Dioxide","GHG","46612.5008775","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Hampshire","015","Carbon Dioxide","GHG","44094.0984741","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Middlesex","017","Carbon Dioxide","GHG","43056.357","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Bristol","005","Carbon Dioxide","GHG","42931.69815312","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Berkshire","003","Carbon Dioxide","GHG","39773.4665","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Norfolk","021","Carbon Dioxide","GHG","38448.362445437","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Norfolk","021","Carbon Dioxide","GHG","37750.14","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Worcester","027","Carbon Monoxide","CAP","37204.18118","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Dukes","007","Carbon Dioxide","GHG","37046.126198025000006785787","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Hampden","013","Carbon Dioxide","GHG","35362.40882628","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Essex","009","Carbon Dioxide","GHG","34410.3","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Dukes","007","Carbon Dioxide","GHG","34235.97501","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Essex","009","Carbon Monoxide","CAP","34061.30697","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Norfolk","021","Carbon Monoxide","CAP","33679.74654","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Franklin","011","Carbon Dioxide","GHG","32698.1263801000000000974271","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Bristol","005","Carbon Dioxide","GHG","32325.15","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Plymouth","023","Carbon Dioxide","GHG","29087.4","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Franklin","011","Carbon Dioxide","GHG","27156.6814","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Essex","009","Carbon Monoxide","CAP","25772.728750970000000592031359","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Nantucket","019","Carbon Dioxide","GHG","25263.52204685800000694345382","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Bristol","005","Carbon Monoxide","CAP","25147.278","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Suffolk","025","Carbon Dioxide","GHG","24895.9188510093","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Worcester","027","Carbon Monoxide","CAP","24752.93111918500000059106","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Barnstable","001","Carbon Monoxide","CAP","24533.500533850500000592032851","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Suffolk","025","Carbon Monoxide","CAP","24141.69927","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Norfolk","021","Carbon Monoxide","CAP","23815.82320466200000059106","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Hampshire","015","Carbon Dioxide","GHG","23676.37294515000000678162","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Plymouth","023","Carbon Monoxide","CAP","22853.44565459000000059106","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Nantucket","019","Carbon Dioxide","GHG","22477.9872008960000015395571","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Dukes","007","Carbon Dioxide","GHG","21631.0846070100000000974271","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Suffolk","025","Carbon Dioxide","GHG","21493.5","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Plymouth","023","Carbon Monoxide","CAP","21459.61894","TON"
"Biogenics - Vegetation and Soil","MA","25","Worcester","027","Volatile Organic Compounds","CAP","19270","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Nantucket","019","Carbon Dioxide","GHG","18433.877281","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Hampden","013","Carbon Monoxide","CAP","18371.536971","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Plymouth","023","Carbon Dioxide","GHG","17938.24628998","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Essex","009","Carbon Dioxide","GHG","17896.3632","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Worcester","027","Carbon Dioxide","GHG","17540.08977","TON"
"Dust - Unpaved Road Dust","MA","25","Worcester","027","PM10 Primary (Filt + Cond)","CAP","15672.1","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Bristol","005","Carbon Monoxide","CAP","15005.70786503000000059106","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Barnstable","001","Carbon Dioxide","GHG","14858.44","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Suffolk","025","Carbon Monoxide","CAP","14690.042874806000000639620682","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Hampden","013","Carbon Dioxide","GHG","14262.16","TON"
"Waste Disposal","MA","25","Middlesex","017","Carbon Monoxide","CAP","13039.0768","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Norfolk","021","Carbon Dioxide","GHG","13006.959","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Hampden","013","Carbon Monoxide","CAP","12347.51905244000000059106","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Hampshire","015","Carbon Dioxide","GHG","12019.12","TON"
"Fuel Comb - Residential - Wood","MA","25","Worcester","027","Carbon Monoxide","CAP","11601.4809","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Suffolk","025","Carbon Dioxide","GHG","11005.00194","TON"
"Biogenics - Vegetation and Soil","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","11001.2","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Bristol","005","Carbon Dioxide","GHG","10938.1269","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Franklin","011","Carbon Dioxide","GHG","10906.095829960000000000136599","TON"
"Fires - Wildfires","MA","25","Worcester","027","Carbon Dioxide","GHG","10530.658643","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Barnstable","001","Carbon Monoxide","CAP","10497.563654","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Plymouth","023","Carbon Dioxide","GHG","9831.788882","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Berkshire","003","Carbon Dioxide","GHG","9467.83786587","TON"
"Biogenics - Vegetation and Soil","MA","25","Plymouth","023","Volatile Organic Compounds","CAP","8877.61","TON"
"Fires - Prescribed Fires","MA","25","Barnstable","001","Carbon Dioxide","GHG","8845.2061","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Franklin","011","Carbon Dioxide","GHG","8626.052","TON"
"Waste Disposal","MA","25","Worcester","027","Carbon Monoxide","CAP","8619.191823","TON"
"Biogenics - Vegetation and Soil","MA","25","Franklin","011","Volatile Organic Compounds","CAP","8214.82","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Berkshire","003","Carbon Monoxide","CAP","8099.1615983467","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Hampden","013","Carbon Dioxide","GHG","7810.66514","TON"
"Biogenics - Vegetation and Soil","MA","25","Hampden","013","Volatile Organic Compounds","CAP","7784.22","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Berkshire","003","Carbon Dioxide","GHG","7478.96","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Middlesex","017","Nitrogen Oxides","CAP","7188.327043","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","6984.6652","TON"
"Biogenics - Vegetation and Soil","MA","25","Berkshire","003","Volatile Organic Compounds","CAP","6918.52","TON"
"Biogenics - Vegetation and Soil","MA","25","Hampshire","015","Volatile Organic Compounds","CAP","6817.93","TON"
"Mobile - Commercial Marine Vessels","MA","25","Bristol","005","Nitrogen Oxides","CAP","6747.33531392","TON"
"Biogenics - Vegetation and Soil","MA","25","Bristol","005","Volatile Organic Compounds","CAP","6682.83","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Hampshire","015","Carbon Monoxide","CAP","6614.262188","TON"
"Biogenics - Vegetation and Soil","MA","25","Essex","009","Volatile Organic Compounds","CAP","6486.15","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","6361.723788","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Franklin","011","Carbon Monoxide","CAP","6341.120675900000000000968275","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Berkshire","003","Carbon Monoxide","CAP","6113.510229","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Hampshire","015","Carbon Dioxide","GHG","6067.5848115","TON"
"Biogenics - Vegetation and Soil","MA","25","Barnstable","001","Volatile Organic Compounds","CAP","6031.57","TON"
"Dust - Unpaved Road Dust","MA","25","Bristol","005","PM10 Primary (Filt + Cond)","CAP","5754.2","TON"
"Fuel Comb - Residential - Wood","MA","25","Middlesex","017","Carbon Monoxide","CAP","5682.4764","TON"
"Biogenics - Vegetation and Soil","MA","25","Norfolk","021","Volatile Organic Compounds","CAP","5665.73","TON"
"Dust - Unpaved Road Dust","MA","25","Plymouth","023","PM10 Primary (Filt + Cond)","CAP","5444.19","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Barnstable","001","Carbon Dioxide","GHG","5277.186947","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Dukes","007","Carbon Monoxide","CAP","5152.189546797700000592032366","TON"
"Fuel Comb - Residential - Wood","MA","25","Hampden","013","Carbon Monoxide","CAP","4970.19759","TON"
"Dust - Unpaved Road Dust","MA","25","Middlesex","017","PM10 Primary (Filt + Cond)","CAP","4856.6","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Hampshire","015","Carbon Monoxide","CAP","4711.03318631200000059106","TON"
"Dust - Unpaved Road Dust","MA","25","Hampshire","015","PM10 Primary (Filt + Cond)","CAP","4629.72","TON"
"Fuel Comb - Residential - Wood","MA","25","Essex","009","Carbon Monoxide","CAP","4599.58126","TON"
"Dust - Unpaved Road Dust","MA","25","Berkshire","003","PM10 Primary (Filt + Cond)","CAP","4424.18","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Barnstable","001","Carbon Dioxide","GHG","4253.259902293000000000136599","TON"
"Dust - Unpaved Road Dust","MA","25","Hampden","013","PM10 Primary (Filt + Cond)","CAP","4239.35","TON"
"Dust - Unpaved Road Dust","MA","25","Franklin","011","PM10 Primary (Filt + Cond)","CAP","4145.87","TON"
"Waste Disposal","MA","25","Bristol","005","Carbon Monoxide","CAP","4000.5925","TON"
"Fires - Prescribed Fires","MA","25","Bristol","005","Carbon Dioxide","GHG","3916.533","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Worcester","027","Nitrogen Oxides","CAP","3737.699622","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Nantucket","019","Carbon Monoxide","CAP","3683.058834235000000640562906","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Worcester","027","Volatile Organic Compounds","CAP","3661.5132","TON"
"Waste Disposal","MA","25","Essex","009","Carbon Monoxide","CAP","3610.79946","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Franklin","011","Carbon Monoxide","CAP","3609.8411879","TON"
"Waste Disposal","MA","25","Plymouth","023","Carbon Monoxide","CAP","3538.35727","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Essex","009","Nitrogen Oxides","CAP","3431.8004735","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Essex","009","Volatile Organic Compounds","CAP","3425.3236","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Middlesex","017","Nitrogen Oxides","CAP","3418.79593","TON"
"Fires - Prescribed Fires","MA","25","Berkshire","003","Carbon Dioxide","GHG","3417.208","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Suffolk","025","Volatile Organic Compounds","CAP","3397.810140657","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Worcester","027","Volatile Organic Compounds","CAP","3380.344988","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","3376.752224121500000280057754","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Norfolk","021","Nitrogen Oxides","CAP","3369.4819696","TON"
"Dust - Unpaved Road Dust","MA","25","Essex","009","PM10 Primary (Filt + Cond)","CAP","3365.87","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Barnstable","001","Volatile Organic Compounds","CAP","3350.589754493963000278442459378","TON"
"Fires - Wildfires","MA","25","Essex","009","Carbon Dioxide","GHG","3328.496048","TON"
"Fuel Comb - Residential - Wood","MA","25","Hampshire","015","Carbon Monoxide","CAP","3282.85998","TON"
"Solvent - Industrial Surface Coating & Solvent Use","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","3239.6186","TON"
"Fuel Comb - Residential - Wood","MA","25","Bristol","005","Carbon Monoxide","CAP","3098.32555","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Norfolk","021","Volatile Organic Compounds","CAP","3085.236416","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Essex","009","Volatile Organic Compounds","CAP","3047.0936011","TON"
"Fuel Comb - Residential - Wood","MA","25","Franklin","011","Carbon Monoxide","CAP","2976.94599","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Dukes","007","Carbon Dioxide","GHG","2927.30853","TON"
"Mobile - Commercial Marine Vessels","MA","25","Essex","009","Nitrogen Oxides","CAP","2917.327976458","TON"
"Fuel Comb - Residential - Wood","MA","25","Plymouth","023","Carbon Monoxide","CAP","2914.90147","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Norfolk","021","Volatile Organic Compounds","CAP","2909.4768529","TON"
"Dust - Construction Dust","MA","25","Middlesex","017","PM10 Primary (Filt + Cond)","CAP","2882.6027","TON"
"Fires - Prescribed Fires","MA","25","Dukes","007","Carbon Dioxide","GHG","2683.04","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Plymouth","023","Volatile Organic Compounds","CAP","2673.462650634200000279289888","TON"
"Fuel Comb - Residential - Wood","MA","25","Berkshire","003","Carbon Monoxide","CAP","2669.26502","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Hampshire","015","Carbon Dioxide","GHG","2622.5306739","TON"
"Waste Disposal","MA","25","Essex","009","Nitrogen Oxides","CAP","2604.292514","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Middlesex","017","Nitrogen Oxides","CAP","2583.690147291","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Bristol","005","Nitrogen Oxides","CAP","2545.8457181","TON"
"Dust - Paved Road Dust","MA","25","Middlesex","017","PM10 Primary (Filt + Cond)","CAP","2535.57","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Middlesex","017","Carbon Monoxide","CAP","2523.5087784306","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Bristol","005","Volatile Organic Compounds","CAP","2476.94191","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Worcester","027","Volatile Organic Compounds","CAP","2449.87722000210000027960795","TON"
"Mobile - Aircraft","MA","25","Suffolk","025","Carbon Monoxide","CAP","2433.9747492248647","TON"
"Dust - Construction Dust","MA","25","Suffolk","025","PM10 Primary (Filt + Cond)","CAP","2430.249","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Berkshire","003","Carbon Dioxide","GHG","2394.341409","TON"
"Waste Disposal","MA","25","Hampden","013","Carbon Monoxide","CAP","2375.556432","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Essex","009","Volatile Organic Compounds","CAP","2339.605930447300000279143100153","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Bristol","005","Volatile Organic Compounds","CAP","2334.2894347","TON"
"Biogenics - Vegetation and Soil","MA","25","Worcester","027","Carbon Monoxide","CAP","2293.2","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Plymouth","023","Volatile Organic Compounds","CAP","2258.98251","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Plymouth","023","Nitrogen Oxides","CAP","2238.2126619","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Suffolk","025","Volatile Organic Compounds","CAP","2215.06009","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Suffolk","025","Nitrogen Oxides","CAP","2145.090312","TON"
"Solvent - Consumer & Commercial Solvent Use","MA","25","Hampden","013","Volatile Organic Compounds","CAP","2098.00116","TON"
"Fires - Wildfires","MA","25","Norfolk","021","Carbon Dioxide","GHG","2097.671885","TON"
"Fuel Comb - Residential - Wood","MA","25","Norfolk","021","Carbon Monoxide","CAP","2093.75073","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Middlesex","017","Carbon Monoxide","CAP","2058.74456","TON"
"Fuel Comb - Residential - Wood","MA","25","Barnstable","001","Carbon Monoxide","CAP","2046.65706","TON"
"Solvent - Non-Industrial Surface Coating","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","1993.67","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Plymouth","023","Volatile Organic Compounds","CAP","1974.8020778","TON"
"Solvent - Industrial Surface Coating & Solvent Use","MA","25","Essex","009","Volatile Organic Compounds","CAP","1939.26225","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Worcester","027","Nitrogen Oxides","CAP","1913.2788","TON"
"Fires - Prescribed Fires","MA","25","Plymouth","023","Carbon Dioxide","GHG","1913.203","TON"
"Mobile - Aircraft","MA","25","Suffolk","025","Nitrogen Oxides","CAP","1904.660714614","TON"
"Biogenics - Vegetation and Soil","MA","25","Dukes","007","Volatile Organic Compounds","CAP","1860.09","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Franklin","011","Volatile Organic Compounds","CAP","1858.735327798860000000023299565","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Norfolk","021","Volatile Organic Compounds","CAP","1854.854992604400000279927454","TON"
"Fuel Comb - Residential - Wood","MA","25","Worcester","027","Volatile Organic Compounds","CAP","1842.7893","TON"
"Solvent - Industrial Surface Coating & Solvent Use","MA","25","Worcester","027","Volatile Organic Compounds","CAP","1807.27163","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Hampden","013","Volatile Organic Compounds","CAP","1790.9341628","TON"
"Fuel Comb - Residential - Wood","MA","25","Worcester","027","PM10 Primary (Filt + Cond)","CAP","1787.64836","TON"
"Fuel Comb - Residential - Wood","MA","25","Worcester","027","PM2.5 Primary (Filt + Cond)","CAP","1787.64836","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Hampden","013","Nitrogen Oxides","CAP","1765.7871436","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Berkshire","003","Volatile Organic Compounds","CAP","1762.10476294549","TON"
"Dust - Unpaved Road Dust","MA","25","Barnstable","001","PM10 Primary (Filt + Cond)","CAP","1724.02","TON"
"Fires - Wildfires","MA","25","Hampden","013","Carbon Dioxide","GHG","1722.512203","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Worcester","027","Nitrogen Oxides","CAP","1716.259265342","TON"
"Mobile - Commercial Marine Vessels","MA","25","Barnstable","001","Nitrogen Oxides","CAP","1699.478903717","TON"
"Fuel Comb - Residential - Oil","MA","25","Middlesex","017","Sulfur Dioxide","CAP","1675.5393","TON"
"Dust - Paved Road Dust","MA","25","Worcester","027","PM10 Primary (Filt + Cond)","CAP","1659.35","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Middlesex","017","Nitrogen Oxides","CAP","1655.50438","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Essex","009","Nitrogen Oxides","CAP","1635.04386","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Norfolk","021","Nitrogen Oxides","CAP","1596.73788","TON"
"Dust - Unpaved Road Dust","MA","25","Worcester","027","PM2.5 Primary (Filt + Cond)","CAP","1558.4","TON"
"Fuel Comb - Electric Generation - Coal","MA","25","Bristol","005","Nitrogen Oxides","CAP","1518.41","TON"
"Dust - Construction Dust","MA","25","Worcester","027","PM10 Primary (Filt + Cond)","CAP","1515.75433","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Essex","009","Carbon Monoxide","CAP","1507.04959388300000000000549863","TON"
"Waste Disposal","MA","25","Middlesex","017","Volatile Organic Compounds","CAP","1488.71454","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Bristol","005","Volatile Organic Compounds","CAP","1438.653971791800000279890415","TON"
