"SECTOR","STATE","STATE_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Waste Disposal","MA","25","Nitrogen Oxides","CAP","5426.598323654","TON"
"Mobile - Commercial Marine Vessels","MA","25","Nitrogen Oxides","CAP","5308.50674455","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Carbon Monoxide","CAP","5197.5620878117","TON"
"Solvent - Degreasing","MA","25","Volatile Organic Compounds","CAP","5172.646576","TON"
"Fuel Comb - Residential - Wood","MA","25","Volatile Organic Compounds","CAP","4821.047549243","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","MA","25","Carbon Monoxide","CAP","4780.823976","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Carbon Monoxide","CAP","4726.71832225579","TON"
"Fuel Comb - Residential - Wood","MA","25","PM10 Primary (Filt + Cond)","CAP","4620.6542959","TON"
"Fuel Comb - Residential - Wood","MA","25","PM2.5 Primary (Filt + Cond)","CAP","4610.4819812","TON"
"Gas Stations","MA","25","Volatile Organic Compounds","CAP","4535.81908398","TON"
"Fuel Comb - Residential - Oil","MA","25","Nitrogen Oxides","CAP","4329.71396482","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Nitrogen Oxides","CAP","4271.824602005","TON"
"Mobile - Locomotives","MA","25","Nitrogen Oxides","CAP","4098.010759","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Nitrogen Oxides","CAP","3853.0246106708556","TON"
"Industrial Processes - Storage and Transfer","MA","25","Volatile Organic Compounds","CAP","3575.70061","TON"
"Waste Disposal","MA","25","Volatile Organic Compounds","CAP","3401.51291762","TON"
"Miscellaneous Non-Industrial NEC","MA","25","Ammonia","CAP","3325.496229","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","PM10 Primary (Filt + Cond)","CAP","3180.0509279331","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Carbon Monoxide","CAP","3145.9273632","TON"
"Waste Disposal","MA","25","PM10 Primary (Filt + Cond)","CAP","3120.75008564","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MA","25","Nitrogen Oxides","CAP","2962.17499","TON"
"Commercial Cooking","MA","25","PM10 Primary (Filt + Cond)","CAP","2930.3092117","TON"
"Waste Disposal","MA","25","PM2.5 Primary (Filt + Cond)","CAP","2816.01967388","TON"
"Commercial Cooking","MA","25","PM2.5 Primary (Filt + Cond)","CAP","2720.45533","TON"
"Miscellaneous Non-Industrial NEC","MA","25","Carbon Monoxide","CAP","2586.94440853108","TON"
"Fuel Comb - Residential - Wood","MA","25","Organic Carbon portion of PM2.5-PRI","","2435.25658246984","TON"
"Fuel Comb - Residential - Natural Gas","MA","25","Carbon Monoxide","CAP","2423.620122","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Carbon Monoxide","CAP","2188.266779","TON"
"Agriculture - Crops & Livestock Dust","MA","25","PM2.5 Primary (Filt + Cond)","CAP","2173.8388868222","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MA","25","Carbon Monoxide","CAP","2152.620698","TON"
"Agriculture - Crops & Livestock Dust","MA","25","Remaining PMFINE portion of PM2.5-PRI","","2076.79238008791578","TON"
"Dust - Paved Road Dust","MA","25","PM2.5 Primary (Filt + Cond)","CAP","2042.543348","TON"
"Mobile - Aircraft","MA","25","Nitrogen Oxides","CAP","1921.4604662829","TON"
"Fuel Comb - Residential - Wood","MA","25","Remaining PMFINE portion of PM2.5-PRI","","1890.4267057874736","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","PM10 Primary (Filt + Cond)","CAP","1858.3347237","TON"
"Fuel Comb - Residential - Oil","MA","25","Sulfur Dioxide","CAP","1836.166312535","TON"
"Industrial Processes - Mining","MA","25","PM10 Primary (Filt + Cond)","CAP","1828.70653","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","MA","25","Nitrogen Oxides","CAP","1808.482551","TON"
"Dust - Paved Road Dust","MA","25","Remaining PMFINE portion of PM2.5-PRI","","1808.318774654796","TON"
"Commercial Cooking","MA","25","Organic Carbon portion of PM2.5-PRI","","1780.6329236856","TON"
"Miscellaneous Non-Industrial NEC","MA","25","Volatile Organic Compounds","CAP","1711.6202564189743","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Ammonia","CAP","1661.4641773","TON"
"Solvent - Graphic Arts","MA","25","Volatile Organic Compounds","CAP","1638.454627","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","PM2.5 Primary (Filt + Cond)","CAP","1605.1975237","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Nitrogen Oxides","CAP","1532.4321446631","TON"
"Fires - Wildfires","MA","25","Carbon Monoxide","CAP","1506.811807","TON"
"Industrial Processes - NEC","MA","25","Volatile Organic Compounds","CAP","1395.487520577","TON"
"Fires - Prescribed Fires","MA","25","Carbon Dioxide","GHG","1389.3464793","TON"
"Waste Disposal","MA","25","Remaining PMFINE portion of PM2.5-PRI","","1368.7677889460786","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Volatile Organic Compounds","CAP","1329.5037600356","TON"
"Fuel Comb - Residential - Oil","MA","25","Carbon Monoxide","CAP","1292.938890049","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","PM10 Primary (Filt + Cond)","CAP","1269.33173839315","TON"
"Fuel Comb - Residential - Natural Gas","MA","25","Ammonia","CAP","1211.809921","TON"
"Fuel Comb - Electric Generation - Natural Gas","MA","25","Nitrogen Oxides","CAP","1188.9925","TON"
"Dust - Unpaved Road Dust","MA","25","PM2.5 Primary (Filt + Cond)","CAP","1140.32334","TON"
"Commercial Cooking","MA","25","Carbon Monoxide","CAP","1120.9302775","TON"
"Dust - Construction Dust","MA","25","PM2.5 Primary (Filt + Cond)","CAP","1093.16313366","TON"
"Waste Disposal","MA","25","Organic Carbon portion of PM2.5-PRI","","1083.46703113441","TON"
"Industrial Processes - NEC","MA","25","Lead","CAP/HAP","1070.11045696","LB"
"Dust - Unpaved Road Dust","MA","25","Remaining PMFINE portion of PM2.5-PRI","","1066.82722009032","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Nitrogen Oxides","CAP","1039.72546715","TON"
"Dust - Construction Dust","MA","25","Remaining PMFINE portion of PM2.5-PRI","","1030.88672309852346","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Methane","GHG","986.9190184441641","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Nitrogen Oxides","CAP","983.880248112","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Volatile Organic Compounds","CAP","964.56206561292","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","PM2.5 Primary (Filt + Cond)","CAP","959.9322664828","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Carbon Monoxide","CAP","937.261694279","TON"
"Industrial Processes - Storage and Transfer","MA","25","Lead","CAP/HAP","920.51","LB"
"Biogenics - Vegetation and Soil","MA","25","Nitrogen Oxides","CAP","918.19932","TON"
"Waste Disposal","MA","25","Sulfur Dioxide","CAP","895.4388784886","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Remaining PMFINE portion of PM2.5-PRI","","877.1457400481517","TON"
"Fuel Comb - Electric Generation - Oil","MA","25","Nitrogen Oxides","CAP","871.4495","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Nitrogen Oxides","CAP","857.752962","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Methane","GHG","840.6669968779","TON"
"Commercial Cooking","MA","25","Remaining PMFINE portion of PM2.5-PRI","","827.960437753356","TON"
"Fuel Comb - Comm/Institutional - Biomass","MA","25","Carbon Monoxide","CAP","777.8225059","TON"
"Mobile - Commercial Marine Vessels","MA","25","Carbon Monoxide","CAP","777.63417232","TON"
"Mobile - Aircraft","MA","25","Volatile Organic Compounds","CAP","773.2695065913044","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","PM10 Primary (Filt + Cond)","CAP","765.741117408083","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","PM10 Primary (Filt + Cond)","CAP","764.9199190985384","TON"
"Agriculture - Fertilizer Application","MA","25","Ammonia","CAP","763.3","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","PM2.5 Primary (Filt + Cond)","CAP","749.72653078742","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","PM2.5 Primary (Filt + Cond)","CAP","742.767827282955","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","PM2.5 Primary (Filt + Cond)","CAP","703.725043830318","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Nitrous Oxide","GHG","684.0798681877","TON"
"Fuel Comb - Residential - Oil","MA","25","Lead","CAP/HAP","653.870781052927545521002","LB"
"Fuel Comb - Residential - Wood","MA","25","Nitrogen Oxides","CAP","639.375262744","TON"
"Fuel Comb - Comm/Institutional - Biomass","MA","25","PM10 Primary (Filt + Cond)","CAP","636.5398926","TON"
"Fuel Comb - Residential - Oil","MA","25","PM10 Primary (Filt + Cond)","CAP","615.473483424","TON"
"Fuel Comb - Residential - Other","MA","25","Nitrogen Oxides","CAP","596.0051824","TON"
"Fuel Comb - Electric Generation - Coal","MA","25","Nitrogen Oxides","CAP","577.5","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Elemental Carbon portion of PM2.5-PRI","","572.979539214888704","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Organic Carbon portion of PM2.5-PRI","","563.58485057107","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Sulfur Dioxide","CAP","563.0150821908","TON"
"Fuel Comb - Electric Generation - Coal","MA","25","Sulfur Dioxide","CAP","551.41","TON"
"Fuel Comb - Residential - Oil","MA","25","PM2.5 Primary (Filt + Cond)","CAP","550.827287659","TON"
"Fuel Comb - Comm/Institutional - Biomass","MA","25","PM2.5 Primary (Filt + Cond)","CAP","550.236557","TON"
"Mobile - Locomotives","MA","25","Carbon Monoxide","CAP","548.1932986","TON"
"Fuel Comb - Electric Generation - Other","MA","25","Carbon Monoxide","CAP","539.6937","TON"
"Waste Disposal","MA","25","Lead","CAP/HAP","499.79040098","LB"
"Miscellaneous Non-Industrial NEC","MA","25","PM10 Primary (Filt + Cond)","CAP","498.222062442761","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","MA","25","Carbon Monoxide","CAP","483.2301987","TON"
"Fuel Comb - Electric Generation - Oil","MA","25","Sulfur Dioxide","CAP","482.7134","TON"
"Industrial Processes - NEC","MA","25","PM10 Primary (Filt + Cond)","CAP","470.290911252","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","Volatile Organic Compounds","CAP","440.3304042876","TON"
"Industrial Processes - NEC","MA","25","Nitrogen Oxides","CAP","424.0646","TON"
"Miscellaneous Non-Industrial NEC","MA","25","PM2.5 Primary (Filt + Cond)","CAP","421.114039927337","TON"
"Commercial Cooking","MA","25","Volatile Organic Compounds","CAP","405.941130171","TON"
"Industrial Processes - NEC","MA","25","PM2.5 Primary (Filt + Cond)","CAP","404.97071851389","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Organic Carbon portion of PM2.5-PRI","","403.72566881111","TON"
"Industrial Processes - NEC","MA","25","Carbon Monoxide","CAP","378.5806","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Sulfur Dioxide","CAP","357.33863166","TON"
"Fires - Wildfires","MA","25","Volatile Organic Compounds","CAP","354.842417","TON"
"Fuel Comb - Comm/Institutional - Other","MA","25","Carbon Monoxide","CAP","352.226423","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","Volatile Organic Compounds","CAP","351.3972586","TON"
"Fuel Comb - Electric Generation - Natural Gas","MA","25","Carbon Monoxide","CAP","345.4402","TON"
"Industrial Processes - Chemical Manuf","MA","25","Volatile Organic Compounds","CAP","345.0916","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Remaining PMFINE portion of PM2.5-PRI","","345.02442474349","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","MA","25","Volatile Organic Compounds","CAP","343.199906","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","PM10 Primary (Filt + Cond)","CAP","336.3789105658","TON"
"Industrial Processes - NEC","MA","25","Remaining PMFINE portion of PM2.5-PRI","","335.987531764411856","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Organic Carbon portion of PM2.5-PRI","","334.919767503306228","TON"
"Fuel Comb - Residential - Natural Gas","MA","25","Volatile Organic Compounds","CAP","333.247759","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","PM2.5 Primary (Filt + Cond)","CAP","327.422810328","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Elemental Carbon portion of PM2.5-PRI","","319.409351637877","TON"
"Waste Disposal","MA","25","Elemental Carbon portion of PM2.5-PRI","","301.957011503776","TON"
"Fuel Comb - Comm/Institutional - Biomass","MA","25","Remaining PMFINE portion of PM2.5-PRI","","300.671814443637","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Methane","GHG","297.713569716323","TON"
"Fuel Comb - Electric Generation - Coal","MA","25","Carbon Monoxide","CAP","292.06","TON"
"Fuel Comb - Comm/Institutional - Biomass","MA","25","Nitrogen Oxides","CAP","288.8872042","TON"
"Miscellaneous Non-Industrial NEC","MA","25","Nitrogen Oxides","CAP","287.078886471145","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Remaining PMFINE portion of PM2.5-PRI","","283.187638366812302","TON"
"Bulk Gasoline Terminals","MA","25","Volatile Organic Compounds","CAP","269.122123511","TON"
"Fuel Comb - Residential - Wood","MA","25","Ammonia","CAP","265.3077974414","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Volatile Organic Compounds","CAP","265.24674778508","TON"
"Fuel Comb - Residential - Oil","MA","25","Ammonia","CAP","258.587786026","TON"
"Fuel Comb - Residential - Wood","MA","25","Elemental Carbon portion of PM2.5-PRI","","257.26489455096","TON"
"Mobile - Aircraft","MA","25","Sulfur Dioxide","CAP","256.59075144649","TON"
"Fuel Comb - Residential - Oil","MA","25","Remaining PMFINE portion of PM2.5-PRI","","252.728180469695897","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Organic Carbon portion of PM2.5-PRI","","246.233587135117","TON"
"Fuel Comb - Comm/Institutional - Other","MA","25","Nitrogen Oxides","CAP","237.4243624","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MA","25","Volatile Organic Compounds","CAP","236.4733337","TON"
"Mobile - Commercial Marine Vessels","MA","25","Volatile Organic Compounds","CAP","231.12705182","TON"
"Industrial Processes - Mining","MA","25","PM2.5 Primary (Filt + Cond)","CAP","228.789646","TON"
"Industrial Processes - Mining","MA","25","Remaining PMFINE portion of PM2.5-PRI","","228.013870662642","TON"
"Fuel Comb - Electric Generation - Natural Gas","MA","25","PM10 Primary (Filt + Cond)","CAP","226.801426","TON"
"Fuel Comb - Electric Generation - Biomass","MA","25","Carbon Monoxide","CAP","223.92","TON"
"Fuel Comb - Electric Generation - Natural Gas","MA","25","PM2.5 Primary (Filt + Cond)","CAP","219.410926","TON"
"Waste Disposal","MA","25","Ammonia","CAP","212.4025649","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Methane","GHG","210.7416518552","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","MA","25","Sulfur Dioxide","CAP","210.51233288","TON"
"Fuel Comb - Electric Generation - Oil","MA","25","Carbon Monoxide","CAP","209.8148","TON"
"Miscellaneous Non-Industrial NEC","MA","25","Organic Carbon portion of PM2.5-PRI","","202.7655722376274549","TON"
"Dust - Paved Road Dust","MA","25","Organic Carbon portion of PM2.5-PRI","","198.9437220952","TON"
"Industrial Processes - NEC","MA","25","Nitrous Oxide","GHG","195.7495784815","TON"
"Mobile - Locomotives","MA","25","Volatile Organic Compounds","CAP","193.2120239","TON"
"Fuel Comb - Comm/Institutional - Biomass","MA","25","Organic Carbon portion of PM2.5-PRI","","193.1880551627","TON"
"Miscellaneous Non-Industrial NEC","MA","25","Remaining PMFINE portion of PM2.5-PRI","","190.2196053591235755","TON"
"Mobile - Non-Road Equipment - Other","MA","25","Volatile Organic Compounds","CAP","189.879150945","TON"
"Fuel Comb - Residential - Oil","MA","25","Volatile Organic Compounds","CAP","184.3675459888","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","MA","25","Elemental Carbon portion of PM2.5-PRI","","182.81187566678","TON"
"Fuel Comb - Residential - Other","MA","25","Carbon Monoxide","CAP","169.0163918","TON"
"Fires - Wildfires","MA","25","PM10 Primary (Filt + Cond)","CAP","151.170083","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Remaining PMFINE portion of PM2.5-PRI","","146.5683608893856446","TON"
"Mobile - Aircraft","MA","25","PM10 Primary (Filt + Cond)","CAP","141.08346474799","TON"
"Fuel Comb - Residential - Oil","MA","25","Organic Carbon portion of PM2.5-PRI","","137.5887044703604","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","MA","25","PM10 Primary (Filt + Cond)","CAP","137.2646540906","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Remaining PMFINE portion of PM2.5-PRI","","135.8462360249582","TON"
"Mobile - Commercial Marine Vessels","MA","25","PM10 Primary (Filt + Cond)","CAP","133.3287515","TON"
"Mobile - Non-Road Equipment - Diesel","MA","25","Organic Carbon portion of PM2.5-PRI","","130.729289731118152","TON"
"Fires - Wildfires","MA","25","PM2.5 Primary (Filt + Cond)","CAP","128.109894","TON"
"Mobile - Commercial Marine Vessels","MA","25","PM2.5 Primary (Filt + Cond)","CAP","128.0808068","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","MA","25","PM10 Primary (Filt + Cond)","CAP","126.71896486","TON"
"Mobile - Aircraft","MA","25","PM2.5 Primary (Filt + Cond)","CAP","122.96598378059","TON"
"Fuel Comb - Residential - Wood","MA","25","Sulfur Dioxide","CAP","122.0520427581","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","MA","25","PM2.5 Primary (Filt + Cond)","CAP","121.67662965","TON"
"Mobile - Locomotives","MA","25","PM10 Primary (Filt + Cond)","CAP","120.3536604","TON"
"Industrial Processes - NEC","MA","25","Sulfur Dioxide","CAP","119.7757","TON"
"Fuel Comb - Electric Generation - Other","MA","25","Nitrogen Oxides","CAP","119.5544","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","MA","25","PM2.5 Primary (Filt + Cond)","CAP","117.1272164046","TON"
"Mobile - Locomotives","MA","25","PM2.5 Primary (Filt + Cond)","CAP","116.74287929","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","MA","25","Volatile Organic Compounds","CAP","114.15699172","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MA","25","PM10 Primary (Filt + Cond)","CAP","113.08060562","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MA","25","PM2.5 Primary (Filt + Cond)","CAP","110.41763341","TON"
"Fuel Comb - Electric Generation - Natural Gas","MA","25","Volatile Organic Compounds","CAP","108.466","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","MA","25","PM10 Primary (Filt + Cond)","CAP","108.26380648353","TON"
"Fires - Prescribed Fires","MA","25","Carbon Monoxide","CAP","106.99855076","TON"
"Mobile - Commercial Marine Vessels","MA","25","Elemental Carbon portion of PM2.5-PRI","","98.77591820416","TON"
"Fuel Comb - Electric Generation - Natural Gas","MA","25","Ammonia","CAP","98.2088","TON"
"Fuel Comb - Electric Generation - Natural Gas","MA","25","Organic Carbon portion of PM2.5-PRI","","97.966978459","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MA","25","Lead","CAP/HAP","96.36269244","LB"
"Commercial Cooking","MA","25","Elemental Carbon portion of PM2.5-PRI","","92.4648389728","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Sulfur Dioxide","CAP","91.1165926","TON"
"Mobile - Locomotives","MA","25","Elemental Carbon portion of PM2.5-PRI","","90.032108508448","TON"
"Mobile - Non-Road Equipment - Gasoline","MA","25","Elemental Carbon portion of PM2.5-PRI","","85.844336177726702","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MA","25","Ammonia","CAP","83.9839851","TON"
"Agriculture - Crops & Livestock Dust","MA","25","Organic Carbon portion of PM2.5-PRI","","82.51066178675626","TON"
"Fuel Comb - Electric Generation - Natural Gas","MA","25","Remaining PMFINE portion of PM2.5-PRI","","80.9187495088","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","MA","25","Ammonia","CAP","80.6958831805","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Organic Carbon portion of PM2.5-PRI","","80.34572412363792","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MA","25","Sulfur Dioxide","CAP","78.15598554","TON"
"Fuel Comb - Electric Generation - Biomass","MA","25","Nitrogen Oxides","CAP","78","TON"
"Agriculture - Livestock Waste","MA","25","Volatile Organic Compounds","CAP","74.8892257228","TON"
"Fires - Wildfires","MA","25","Methane","GHG","73.245358","TON"
"Fuel Comb - Comm/Institutional - Oil","MA","25","Lead","CAP/HAP","72.4121837752","LB"
"Fuel Comb - Industrial Boilers, ICEs - Other","MA","25","Nitrogen Oxides","CAP","71.8400805","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","MA","25","PM10 Primary (Filt + Cond)","CAP","71.195228448","TON"
"Fuel Comb - Electric Generation - Other","MA","25","Volatile Organic Compounds","CAP","67.3002","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Volatile Organic Compounds","CAP","64.2163114","TON"
"Fuel Comb - Electric Generation - Oil","MA","25","Volatile Organic Compounds","CAP","63.8956","TON"
"Fires - Wildfires","MA","25","Remaining PMFINE portion of PM2.5-PRI","","63.7090518295","TON"
"Fuel Comb - Electric Generation - Other","MA","25","Sulfur Dioxide","CAP","62.8508","TON"
"Dust - Unpaved Road Dust","MA","25","Organic Carbon portion of PM2.5-PRI","","62.261654364","TON"
"Fires - Wildfires","MA","25","Organic Carbon portion of PM2.5-PRI","","60.0579203092","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","MA","25","Lead","CAP/HAP","59.88545326","LB"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","MA","25","Elemental Carbon portion of PM2.5-PRI","","59.55282812927","TON"
"Mobile - Commercial Marine Vessels","MA","25","Sulfur Dioxide","CAP","57.81545825","TON"
"Fuel Comb - Residential - Oil","MA","25","Elemental Carbon portion of PM2.5-PRI","","56.1483259255008","TON"
"Fuel Comb - Electric Generation - Other","MA","25","PM10 Primary (Filt + Cond)","CAP","54.620775932","TON"
"Fuel Comb - Electric Generation - Other","MA","25","PM2.5 Primary (Filt + Cond)","CAP","54.563675932","TON"
"Mobile - Aircraft","MA","25","Remaining PMFINE portion of PM2.5-PRI","","54.34566532021702132119","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","MA","25","Organic Carbon portion of PM2.5-PRI","","54.328615138725","TON"
"Fuel Comb - Electric Generation - Natural Gas","MA","25","Sulfur Dioxide","CAP","51.3815","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","MA","25","Lead","CAP/HAP","51.02951354","LB"
"Dust - Construction Dust","MA","25","Organic Carbon portion of PM2.5-PRI","","50.504136775092","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","MA","25","Remaining PMFINE portion of PM2.5-PRI","","50.0898912323748805","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","MA","25","Organic Carbon portion of PM2.5-PRI","","49.301473317565","TON"
